,id,name,hazardous,distance,orbiting body,velocity,date,diameter
10369,3653916,(2013 WT44),True,180063658.412904698,Juptr,9267.5213439203,1903-10-17,0.5097895857
10370,3653917,(2013 WU44),False,32902629.2648811348,Earth,21528.897114255,1901-12-26,0.2277146434
10371,3653918,(2013 WV44),False,30272638.1100743566,Earth,47917.8116496543,1901-11-02,0.0975867735
10372,3653922,(2013 WW44),False,9717775.1437519876,Venus,37191.7519628021,1900-06-23,0.2893283293
10373,3653921,(2013 WX44),False,1935464.7298630386,Earth,24833.2734365098,2013-11-23,0.0255500032
10374,3653919,(2013 WY44),False,27185970.102047828,Earth,27291.2857452902,2011-11-04,0.0244000636
10375,3653920,(2013 WZ44),False,35394754.1965577492,Earth,47557.8157441221,2003-07-07,0.0255500032
10376,3653969,(2013 WR45),False,3168873.930546078,Earth,14961.570685983,1966-12-20,0.0267541378
10377,3653970,(2013 WT45),True,39630221.6456046078,Earth,51172.5071476444,1907-12-06,0.3128894784
10378,3653973,(2013 WU45),False,15760442.5883936864,Earth,30666.4539620549,1900-01-01,0.3114518818
10379,3653971,(2013 WV45),False,5685375.0629400382,Earth,13275.8212602581,2013-12-27,0.0386714948
10380,3653972,(2013 WW45),False,3678009.2960034176,Earth,14412.0855502262,2013-11-28,0.0293353287
10381,3654055,(2013 WN67),False,37300275.8720539394,Earth,26824.0329762297,1926-04-06,0.8192019157
10382,3654054,(2013 WP67),False,10743430.7486743368,Earth,27075.6221210728,2009-11-18,0.0424024508
10383,3654057,(2013 WR67),True,125625536.696000737,Juptr,13448.8720461024,1908-11-04,0.1470249225
10384,3654058,(2013 WS67),False,10161084.0411020392,Earth,34165.915186821,2013-11-13,0.0807962044
10385,3654239,(2013 WM106),False,29196763.2239163134,Earth,51805.8073045861,2009-10-14,0.464933628
10386,3654337,(2013 WZ107),False,698891.0439719218,Earth,15008.7856612563,2013-11-20,0.0122290004
10387,3654378,(2013 WF108),True,43544901.4154108076,Earth,65194.4379241603,1907-06-20,0.3100208904
10388,3654336,(2013 XS3),False,40743363.2301477572,Earth,33061.6797855353,1900-01-11,0.3114518818
10389,3654335,(2013 XU3),False,17198944.8688271482,Earth,18287.9770574677,2013-10-31,0.2330187988
10390,3654338,(2013 XW3),True,10209727.7214260332,Earth,18838.8078891975,1910-08-18,0.2204910467
