,id,Asteroid Name,Potentially Hazardous,Miss Distance (miles),Orbiting Body,Close Approach Velocity (mph),Date,Max Diameter (miles)
5067,3345299,(2006 SN131),False,1474915.28,Earth,16917.12,2006-09-27,0.02
5068,3345300,(2006 SP131),False,5460238.60,Earth,29066.86,2006-10-02,0.03
5069,3345301,(2006 SQ131),False,19645088.81,Earth,15406.01,2006-09-22,0.11
5070,3345302,(2006 SR131),False,740379.76,Moon,20308.49,1957-09-23,0.01
5071,3345303,(2006 SS131),False,29108340.86,Earth,33698.84,2004-07-10,0.03
5072,3345304,(2006 ST131),False,23348083.06,Earth,40298.35,1908-10-17,0.18
5073,3345307,(2006 SK134),False,18682772.77,Earth,44917.29,1903-04-07,0.67
5074,3346458,(2006 SQ134),False,38629057.51,Earth,41253.08,1934-09-16,0.04
5075,3346459,(2006 SR134),False,2624926.63,Earth,14648.09,2006-08-05,0.09
5076,3346460,(2006 SS134),True,23278800.68,Earth,26656.72,1902-09-22,0.19
5077,3346470,(2006 SB142),False,6826568.76,Mars,15671.09,1909-09-13,0.16
5078,3347351,(2006 SV189),False,45024817.78,Earth,5662.63,1928-12-11,0.44
5079,3346474,(2006 SM198),False,14175473.46,Earth,22178.96,2006-09-22,0.18
5080,3346475,(2006 SN198),False,43086966.13,Earth,20503.06,1975-10-12,0.02
5081,3346476,(2006 SO198),False,473044.49,Moon,71196.76,2006-10-02,0.05
5082,3346477,(2006 SP198),False,184343811.97,Juptr,18350.46,1912-02-29,0.19
5083,3347493,(2006 SU217),False,44974630.34,Earth,44927.26,1913-09-21,0.03
5084,3347494,(2006 SV217),False,45289048.84,Earth,17214.51,2006-03-05,0.05
5085,3347497,(2006 SY217),False,5961505.36,Mars,27130.54,1902-03-10,0.16
5086,54075548,(2006 SK450),False,179657489.15,Juptr,5611.28,1908-07-31,0.42
5087,3347502,(2006 TD),False,41948364.79,Earth,47147.83,1988-10-23,0.12
5088,3347503,(2006 TF),False,2229464.93,Earth,16570.35,2006-09-26,0.02
5089,3348143,(2006 TK),False,11387509.65,Earth,14099.85,1904-07-12,0.41
5090,3348144,(2006 TL),False,19829442.61,Earth,21965.36,1900-06-11,0.06
5091,3348146,(2006 TO),False,21729444.74,Earth,10332.9,1908-11-03,0.08
5092,3348265,(2006 TD1),False,21069232.60,Earth,4343.11,1907-11-18,0.22
5093,3348266,(2006 TF1),False,129327082.98,Juptr,8411.34,1980-02-08,0.29
5094,3348448,(2006 TB7),False,37557459.02,Earth,22087.98,2006-05-13,0.07
5095,3350559,(2006 TJ7),False,3990810.10,Earth,18551.31,2006-10-12,0.05
5096,3350631,(2006 TR7),False,11606940.80,Venus,9294.61,1983-08-05,0.04
5097,3350637,(2006 TT7),False,121527151.57,Juptr,7680.03,1922-01-24,0.46
5098,3350633,(2006 TU7),True,13396700.43,Venus,53124.03,1900-06-28,0.15
5099,3350634,(2006 TA8),True,4189189.86,Earth,40727.75,2006-10-18,0.24
5100,3350635,(2006 TC8),False,36663343.43,Earth,84676.97,2000-03-08,0.39
5101,3350777,(2006 UA),False,45150708.70,Earth,64247.7,1904-10-23,0.35
5102,3351040,(2006 UE),False,179508844.54,Juptr,13324.54,1910-08-25,0.12
5103,3351041,(2006 UF),False,21132010.08,Earth,10925.05,1905-11-04,0.13
5104,3351217,(2006 UJ),False,12821441.06,Earth,11997.9,2006-09-28,0.06
5105,3351219,(2006 UL),False,9927712.36,Earth,16593.31,2001-10-25,0.02
5106,3351221,(2006 UN),False,46448571.89,Earth,41180.46,1921-12-12,0.03
5107,3351222,(2006 UO),True,175807529.93,Juptr,22193.45,1901-08-15,0.21
5108,3351224,(2006 UR),False,13293457.90,Earth,11915.18,1900-12-26,0.48
5109,3351481,(2006 UX1),False,46087977.59,Earth,43271.84,1918-11-15,0.2
5110,3351830,(2006 UY16),False,7196365.49,Earth,19908.12,2006-10-16,0.05
5111,3351831,(2006 UA17),False,30855465.76,Earth,26051.88,2006-05-14,0.06
5112,3351832,(2006 UB17),False,21723853.57,Earth,9088.15,1902-04-21,0.02
5113,3351833,(2006 UD17),False,41176078.74,Earth,21270.97,1947-10-27,0.75
5114,3351834,(2006 UE17),False,9093020.37,Earth,29304.6,1901-05-06,0.15
5115,3351835,(2006 UF17),True,34903027.82,Earth,81737.3,1915-03-09,0.18
5116,3352549,(2006 UQ17),True,40388788.79,Earth,40406.96,1901-10-27,0.15
5117,3352550,(2006 UT17),False,10038894.07,Earth,14452.03,2006-11-14,0.05
5118,3352551,(2006 UU17),False,1976326.58,Earth,19888.72,1935-10-08,0.02
5119,3352688,(2006 UD63),False,46255192.18,Earth,8401.49,1928-08-06,0.61
5120,3352689,(2006 UF63),False,34169769.78,Earth,27704.98,1906-10-17,0.32
5121,3353630,(2006 UB64),False,11710264.44,Venus,49496.26,1900-05-06,0.28
5122,3353631,(2006 UC64),False,3546930.46,Earth,42505.27,2006-10-29,0.04
5123,3353632,(2006 UD64),False,32621560.63,Earth,84234.26,2000-10-19,0.34
5124,3353633,(2006 UE64),False,198584.05,Moon,27046.83,2006-10-20,0.01
5125,3354731,(2006 UC185),False,38842360.89,Earth,46607.64,1931-06-17,0.08
5126,3354736,(2006 UE185),False,16294029.64,Earth,8267.17,2006-10-25,0.05
5127,3354737,(2006 UF185),False,40633247.17,Earth,79322.76,2002-10-29,0.18
5128,3354738,(2006 UH185),False,6719719.30,Earth,16954.62,2006-11-02,0.04
5129,3354739,(2006 UJ185),False,37380894.78,Earth,61597.27,1972-10-06,0.01
5130,3354740,(2006 UL185),False,3631522.34,Merc,43739.64,1900-04-10,0.2
5131,3354954,(2006 UY215),False,4771072.59,Earth,29793.81,1919-04-09,0.09
5132,3354955,(2006 UZ215),False,1094709.99,Earth,20629.41,1901-10-27,0.03
5133,3354956,(2006 UA216),False,31728009.07,Earth,32654.71,1911-08-20,0.07
5134,3354958,(2006 UN216),False,44809067.07,Earth,16159.39,1908-12-13,0.6
5135,3355845,(2006 UQ216),False,23688007.99,Earth,25526.25,1960-03-20,0.01
5136,3355846,(2006 UR216),False,25450394.63,Earth,27000.0,1905-02-01,0.38
5137,3355848,(2006 UK217),False,45501101.62,Earth,80416.64,1901-06-11,0.57
5138,3355869,(2006 UP217),False,45765591.58,Earth,68696.3,2005-03-08,0.04
5139,3355871,(2006 UR217),False,43872680.74,Earth,39046.31,1906-08-12,0.4
5140,3355873,(2006 VB),False,3673922.35,Earth,19239.15,2006-10-22,0.04
5141,3356887,(2006 VJ),False,17583467.85,Earth,20461.14,1901-11-05,0.15
5142,3358114,(2006 VA2),False,44738662.37,Earth,33470.51,1994-10-30,0.24
5143,3358115,(2006 VB2),False,38533542.55,Earth,82433.99,1901-11-07,0.4
5144,3358116,(2006 VC2),False,33727501.73,Earth,37946.44,2003-11-14,0.22
5145,3358117,(2006 VD2),False,16692822.47,Earth,17855.61,1902-09-27,0.54
5146,3358219,(2006 VU2),False,6424573.39,Earth,15631.53,2006-11-12,0.02
5147,3358222,(2006 VX2),False,8367444.79,Venus,16160.45,1901-06-27,0.04
5148,3358223,(2006 VY2),False,24726480.67,Earth,30029.39,1903-08-20,0.1
5149,3358224,(2006 VZ2),False,16402465.49,Earth,54690.24,2006-11-29,0.42
5150,3358226,(2006 VB3),False,27762484.87,Earth,14413.74,1925-10-22,0.21
5151,3358520,(2006 VE13),False,858268.41,Earth,27467.31,2006-11-11,0.02
5152,3358521,(2006 VF13),False,3785919.20,Earth,30810.53,2006-11-15,0.08
5153,3358522,(2006 VG13),True,13294871.69,Venus,20270.1,1901-09-02,0.19
5154,3358670,(2006 VP13),False,6340004.65,Earth,14167.06,2006-11-21,0.07
5155,3358672,(2006 VT13),True,128014573.90,Juptr,8870.68,1933-11-18,0.26
5156,3358690,(2006 VB45),False,35236601.00,Earth,28225.69,2002-10-20,0.04
5157,3359024,(2006 WB),False,43434636.95,Earth,41664.14,1900-10-26,0.1
5158,3359094,(2006 WV),False,7737652.06,Mars,38895.76,1900-05-28,0.01
5159,3359096,(2006 WX),False,1233963.43,Earth,22241.14,2006-11-16,0.04
5160,3359266,(2006 WP1),False,42907498.56,Earth,71186.29,1921-12-08,0.01
5161,3359270,(2006 WT1),True,45132828.75,Earth,48066.13,1925-01-01,0.35
5162,3359271,(2006 WU1),False,15869693.25,Earth,18159.82,2006-10-22,0.1
5163,3359272,(2006 WV1),False,3725326.30,Venus,19033.16,1934-09-17,0.02
5164,3359276,(2006 WA3),False,14429849.55,Earth,34489.33,2006-05-10,0.13
5165,3359277,(2006 WB3),False,4446998.55,Earth,24788.67,2006-11-16,0.05
5166,3359278,(2006 WJ3),True,1893484.76,Earth,22957.35,1904-11-15,0.37
5167,3359279,(2006 WK3),False,36140071.15,Earth,21756.18,1913-12-04,0.32
5168,3359281,(2006 WM3),False,3561007.62,Earth,26172.32,2006-12-12,0.08
5169,3359282,(2006 WN3),False,37261194.12,Earth,30972.5,1915-01-03,0.37
5170,3359284,(2006 WP3),False,40302612.36,Earth,14638.03,1908-06-11,0.08
5171,3360225,(2006 WX3),False,31864209.68,Earth,47332.67,1997-11-24,0.13
5172,3360226,(2006 WY3),False,11292427.92,Earth,25771.4,1903-07-23,0.1
5173,3360227,(2006 WZ3),False,10965566.90,Earth,40951.99,1903-06-08,0.32
5174,3360486,(2006 WE4),False,31267480.79,Earth,38033.29,1901-08-16,0.61
5175,3360537,(2006 WR29),False,8691599.56,Earth,20929.85,2006-11-29,0.06
5176,3360538,(2006 WS29),False,4066408.03,Earth,28356.31,2006-12-02,0.04
5177,3360539,(2006 WT29),False,36954341.33,Earth,37853.87,1907-12-07,0.4
5178,3360540,(2006 WU29),False,132751705.63,Juptr,13844.26,1924-10-16,0.8
5179,3360541,(2006 WV29),False,7211250.64,Earth,42608.69,1963-06-08,0.02
5180,3360542,(2006 WX29),False,6313909.24,Mars,40477.64,1937-04-05,0.01
5181,3360543,(2006 WZ29),False,3285780.47,Earth,23335.76,2006-11-03,0.04
5182,3360544,(2006 WA30),False,42719617.41,Earth,49146.03,1927-11-01,0.03
5183,3360545,(2006 WB30),False,6039444.13,Earth,9574.33,2006-11-29,0.02
5184,3360546,(2006 WC30),False,1474444.50,Earth,21127.28,2006-11-28,0.05
5185,3361550,(2006 WQ127),False,875659.17,Earth,39554.2,1938-06-06,0.08
5186,3361623,(2006 WD129),False,3565069.19,Earth,24198.19,2006-11-17,0.02
5187,3361624,(2006 WE129),False,40941528.74,Earth,54782.6,1904-12-13,0.42
5188,3361625,(2006 WF129),False,35018546.66,Earth,29706.82,1924-11-25,0.56
5189,3361626,(2006 WG129),False,15335201.72,Earth,18064.33,1904-01-31,0.28
5190,3362875,(2006 WG130),False,3397950.92,Earth,27073.42,2006-11-22,0.04
5191,3362876,(2006 WH130),False,27558290.97,Earth,23574.21,2000-11-27,0.06
5192,3362877,(2006 WJ130),False,3400055.30,Earth,27472.59,1907-11-26,0.06
5193,3362878,(2006 WK130),False,9357788.01,Earth,39765.06,2006-11-23,0.13
5194,3363228,(2006 WZ184),False,41642203.50,Earth,46655.44,1998-12-24,0.02
5195,3363333,(2006 XB),False,17324095.04,Earth,35690.86,1902-12-27,0.23
