,id,Asteroid Name,Potentially Hazardous,Miss Distance (miles),Orbiting Body,Close Approach Velocity (mph),Date,Max Diameter (meters)
30273,54320729,(2022 UN11),False,44124306.7131182666,Earth,46595.8318909468,1966-03-17,21.7791024963
30274,54320730,(2022 UO11),False,45459874.6792362076,Earth,54777.9205473243,1948-08-02,29.6510432825
30275,54320731,(2022 UP11),False,2025663.550317304,Earth,42903.3048312827,2022-10-24,31.3357417074
30276,54321073,(2022 UQ11),False,14142974.251533158,Earth,15097.6756176927,1923-10-31,82.0427064882
30277,54321074,(2022 UR11),False,1116964.9683908966,Earth,28694.7138073306,2022-10-30,15.9235530382
30278,54321075,(2022 US11),False,44921672.1447896352,Earth,3924.3948641649,1923-11-03,188.8165155254
30279,54321076,(2022 UT11),False,141542288.013799632,Juptr,16307.6236724269,1924-06-04,520.0438667242
30280,54321077,(2022 UU11),True,24147882.2297563118,Earth,25607.4342464859,1900-02-28,366.4713084395
30281,54321078,(2022 UV11),False,15720545.8542070998,Earth,7038.087365205,2022-10-15,59.9846292283
30282,54321079,(2022 UW11),False,25604529.753092811,Earth,26219.115853299,2017-12-05,30.905799213
30283,54321080,(2022 UA12),False,17517894.4585511242,Earth,12570.778087769,1921-10-17,79.4401359603
30284,54321081,(2022 UL12),False,39140440.6735835924,Earth,38703.060183057,1900-11-28,145.8948556919
30285,54321083,(2022 UM12),False,4173276.3058961992,Earth,19729.8972702737,2022-10-22,52.9712204056
30286,54321082,(2022 UN12),False,40015181.495655495,Earth,47391.8572551077,1949-07-17,59.4346868419
30287,54321084,(2022 UO12),False,1802786.1285806392,Earth,36341.4520170738,1945-04-07,12.5904130692
30288,54321085,(2022 UP12),False,20092179.4762393494,Earth,30733.9611426104,1918-12-01,31.1917670523
30289,54321086,(2022 UQ12),False,39484119.1476484588,Earth,29811.5215268251,1933-06-27,20.1390963084
30290,54321087,(2022 UR12),False,9963831.895134684,Earth,45553.2742290044,2022-10-24,96.3917752536
30291,54321088,(2022 UT12),False,19576392.2676692946,Earth,21150.8779008255,1992-10-29,130.6291132614
30292,54321090,(2022 UU12),False,3044182.4825295838,Earth,17372.005155967,2022-10-18,46.9937366478
30293,54321089,(2022 UV12),False,3616104.4567352382,Earth,22130.1637638264,2022-10-22,44.4672199676
30294,54321091,(2022 UW12),False,14983878.9278315456,Earth,30571.0945457299,2022-09-30,185.3702257252
30295,54321092,(2022 UX12),False,8861033.2242577366,Earth,19924.9000082897,2022-11-20,79.07514169
30296,54321093,(2022 UY12),False,25462038.2535588604,Earth,54865.6480532579,1972-11-07,11.482593191
30297,54321094,(2022 UZ12),False,5571441.7528795674,Earth,20295.6028926062,1961-10-26,18.8816515525
30298,54321095,(2022 UA13),False,68334.7318029084,Earth,35370.0529618584,2009-10-26,31.6256877555
30299,54321433,(2022 UB13),False,22593663.7654944604,Earth,28808.2098209385,1983-09-22,6.1665176484
30300,54321446,(2022 UC13),False,20344278.6617662056,Earth,29774.4444600589,1910-11-10,17.866520367
30301,54321448,(2022 UD13),False,549023.1665909696,Moon,30942.8771725038,2022-10-30,31.1917670523
30302,54321447,(2022 UE13),False,22731964.398992804,Earth,27232.0702976565,1998-10-19,236.6137501138
30303,54321449,(2022 UF13),False,7820319.1226998696,Earth,31217.7571739797,2022-11-13,78.7118244161
30304,54321451,(2022 UK13),False,15957414.3889457262,Earth,18774.3736374013,2022-10-21,77.6318576982
30305,54321452,(2022 UL13),False,4351849.6798163994,Earth,32027.6885070345,1901-04-25,131.2320698525
30306,54321453,(2022 UM13),False,20333401.0848950528,Earth,27070.2384010002,2018-06-13,7.6566708679
30307,54321454,(2022 UN13),False,9252086.0020466028,Earth,28073.9590701669,2022-11-20,97.2836773688
30308,54321455,(2022 UO13),False,11489315.9443060408,Earth,32526.392647247,2012-10-27,16.750970692
30309,54321456,(2022 UP13),False,4153066.3844037734,Earth,18153.7806031801,2022-10-31,53.4613570733
30310,54321457,(2022 UQ13),False,41829192.1958355044,Earth,44442.9968109271,2007-08-18,31.4803809193
30311,54321458,(2022 UR13),False,98951602.2828088352,Juptr,25534.3847118377,1920-07-09,1374.1684676237
30312,54321460,(2022 UA14),False,3066461.0146419918,Mars,19738.8958460314,1903-06-01,12.765563162
30313,54321459,(2022 UB14),False,843988.3178419868,Earth,23700.7848584895,2022-10-31,19.0563613233
30314,54321461,(2022 UC14),False,44353478.4699377706,Earth,45883.0336368128,1983-03-28,6.9189466003
30315,54321463,(2022 UD14),False,163393529.103775663,Juptr,6762.0381474185,1921-03-01,209.9133109443
30316,54321462,(2022 UE14),False,4087908.1012211746,Mars,25831.5316713865,2021-11-15,120.792502496
30317,54321464,(2022 UK14),False,17727671.8788244658,Earth,10165.5014071202,2006-05-31,89.1332985597
30318,54321804,(2022 UP14),False,3458296.526795281,Earth,51655.3104428768,2022-10-17,78.7118244161
30319,54321805,(2022 UQ14),False,14157533.3802832632,Earth,44562.0027628233,2022-11-04,140.6176963133
30320,54321806,(2022 UR14),False,1939493.9736387534,Earth,22115.4341534072,2022-10-19,26.917825833
30321,54321807,(2022 US14),False,2021165.4467517058,Earth,18509.3272097449,2022-11-18,68.8715692826
30322,54321813,(2022 UT14),False,36933672.5069752246,Earth,37548.0782525871,1944-03-18,24.6626635778
30323,54321815,(2022 UU14),False,4893408.8577132124,Earth,62072.2492963698,2022-11-04,75.1692087496
30324,54321814,(2022 UV14),False,168670955.090937633,Juptr,5176.1464824092,1983-04-08,30.4817557509
30325,54321816,(2022 UW14),False,42411332.5601096432,Earth,50314.4354325991,1981-08-12,10.5205871614
30326,54321808,(2022 UX14),False,111333752.980484904,Juptr,11498.7590916428,2016-04-29,9.2053430721
30327,54321809,(2022 UY14),False,2105354.7115303936,Earth,44310.4511237778,2022-11-06,56.4988982214
30328,54321810,(2022 UZ14),False,34131497.9555598788,Earth,32089.7048617023,2018-11-20,59.4346868419
30329,54321811,(2022 UA15),False,19337304.3201066122,Earth,35277.6515453134,2022-10-31,63.3928064522
30330,54321812,(2022 UB15),False,8083386.600668954,Earth,16247.9868776199,2022-10-18,44.8786700881
30331,54321817,(2022 UC15),False,8379443.4434967964,Mars,31845.7142769569,1907-12-08,181.9868378029
30332,54321818,(2022 UT15),False,39362144.6769987968,Earth,29741.4693908671,2020-10-25,75.5161740526
30333,54321819,(2022 UU15),False,18766842.746682282,Earth,42015.1309083915,2001-12-09,57.5492911629
30334,54321820,(2022 UV15),False,730240.0177221978,Moon,27620.0999460505,1957-12-06,37.5007521798
